name,s_MiaFRFP_1,s_MiaFRFP_2,s_MiaFRFP_3,s_Part1Lag_1,s_Part1Lag_2,s_Part1Lag_3
ENSG00000142686,5733,5751,4574,1875,2445,1946
ENSG00000224751,16,23,42,33,27,7
ENSG00000117148,4,6,54,0,18,276
ENSG00000230585,5,19,10,4,11,2
ENSG00000117000,2764,4303,1463,2480,2056,477
ENSG00000284989,0,0,0,0,0,0
ENSG00000231630,0,0,0,0,0,0
ENSG00000092853,2962,4287,2219,1205,1056,451
ENSG00000255811,0,0,0,0,0,0
ENSG00000134697,11987,11492,5725,4809,6230,2329
ENSG00000187513,0,0,0,0,19,0
ENSG00000284720,0,0,0,0,0,0
ENSG00000225671,11,17,3,40,15,13
ENSG00000116151,1449,1180,1594,621,887,1002
ENSG00000006555,0,0,0,0,0,5
ENSG00000236111,21,13,15,4,11,11
ENSG00000214114,1777,2170,592,988,1001,200
ENSG00000116544,342,216,743,70,240,171
ENSG00000236723,6,2,4,4,3,0
ENSG00000232467,1,2,3,0,1,3
ENSG00000117016,1071,1025,1128,250,225,146
ENSG00000163866,5717,4869,3786,3017,2663,2354
ENSG00000237130,2,0,5,4,6,0
ENSG00000232335,0,0,0,0,1,0
ENSG00000260971,0,0,0,0,1,0
ENSG00000284696,0,0,1,1,0,0
ENSG00000238242,0,0,0,0,0,0
ENSG00000232762,7,5,0,0,0,0
ENSG00000162384,2747,2384,1434,2442,2491,1617
ENSG00000162391,24,8,4,7,10,19
ENSG00000117859,9608,10499,3961,6114,3807,1754
ENSG00000162396,2512,2112,2178,411,403,379
ENSG00000284686,6,8,12,3,1,0
ENSG00000162378,5913,7258,3192,2957,2325,858
ENSG00000233079,0,0,0,0,0,0
ENSG00000259818,33,54,48,26,130,33
ENSG00000229444,3,0,2,5,4,0
ENSG00000240563,0,0,0,0,0,0
ENSG00000234318,4,2,4,2,7,1
ENSG00000284773,30,23,41,34,25,2
ENSG00000234481,0,0,0,0,0,0
ENSG00000235612,0,0,0,0,0,0
ENSG00000227485,0,0,0,0,0,0
ENSG00000224609,53,61,61,44,23,19
ENSG00000235545,41,4,19,33,45,16
ENSG00000236646,8,0,0,7,10,6
ENSG00000238063,0,0,0,0,0,0
ENSG00000227104,1,0,0,0,0,0
ENSG00000243725,121,145,69,46,60,54
ENSG00000171872,0,0,1,0,0,0
ENSG00000162407,1804,1791,2012,145,221,199
ENSG00000285079,0,0,0,0,0,0
ENSG00000163877,1749,1656,909,571,934,387
ENSG00000228929,532,545,208,1262,970,556
ENSG00000224570,0,10,19,0,1,1
ENSG00000224980,0,0,0,0,0,0
ENSG00000278967,1,0,0,0,3,0
ENSG00000157184,6180,5438,5088,1716,1406,990
ENSG00000198815,5989,7834,4117,2590,2372,1345
ENSG00000134744,2399,3430,1591,1505,1618,755
ENSG00000233910,0,0,0,0,0,0
ENSG00000287703,0,0,0,0,0,0
ENSG00000283039,0,0,0,0,0,0
ENSG00000229294,0,0,0,0,1,0
ENSG00000234088,0,0,0,0,0,0
ENSG00000236973,0,0,0,839,386,343
ENSG00000277397,0,0,0,0,0,0
ENSG00000235446,0,0,0,0,0,0
ENSG00000162385,1910,1660,748,1936,1598,1044
ENSG00000223883,0,0,0,4,4,0
ENSG00000237227,0,0,0,0,0,0
ENSG00000275350,0,0,0,0,0,0
ENSG00000116652,2,0,7,17,12,1
ENSG00000123080,1118,1162,1450,2598,1786,1198
ENSG00000285778,0,0,0,0,0,0
ENSG00000233407,0,0,0,0,0,0
ENSG00000225675,18,7,10,7,1,2
ENSG00000162598,0,0,0,0,0,0
ENSG00000280317,0,1,0,0,1,0
ENSG00000162415,202,472,517,314,512,487
ENSG00000162600,1531,1852,508,1164,785,204
ENSG00000116704,2037,2692,943,1507,1227,503
ENSG00000157193,5514,5702,5059,930,1154,811
ENSG00000116205,1859,1746,992,619,664,404
ENSG00000234204,0,0,0,0,0,0
ENSG00000233099,0,0,0,0,0,0
ENSG00000233994,232,235,94,247,184,80
ENSG00000233973,0,0,0,0,0,0
ENSG00000132854,6,10,2,30,3,2
ENSG00000227556,0,0,0,1,0,0
ENSG00000162607,5723,7829,3988,3412,2422,1290
ENSG00000285954,0,0,0,0,0,0
ENSG00000233333,0,0,0,0,0,0
ENSG00000154027,2348,2003,1484,964,84,22
ENSG00000234108,0,0,0,23,12,20
ENSG00000232676,21,33,5,72,26,31
ENSG00000213579,1,4,2,41,21,34
ENSG00000137960,2,8,0,5,2,0
ENSG00000237852,0,1,0,1,3,0
ENSG00000132855,1,7,0,0,1,0
ENSG00000285407,30,14,0,133,106,52
ENSG00000270549,0,0,0,17,7,17
ENSG00000237163,0,0,0,0,1,0
ENSG00000229636,1,3,5,0,4,2
ENSG00000116675,81,93,9,33,140,72
ENSG00000162433,5588,7028,3847,2553,4827,1555
ENSG00000213625,2509,3224,1408,4257,3515,1742
ENSG00000233664,2,1,0,0,4,1
ENSG00000158966,1160,1199,608,3300,727,636
ENSG00000213703,0,4,0,41,27,17
ENSG00000203965,503,509,269,664,536,60
ENSG00000223479,0,0,0,0,0,0
ENSG00000233674,0,0,0,1,0,2
ENSG00000153898,1485,1659,869,809,745,282
ENSG00000117069,0,0,0,3,0,0
ENSG00000125703,1719,2514,451,1453,726,183
ENSG00000285041,16,5,0,19,0,1
ENSG00000234144,0,0,0,0,0,0
ENSG00000277670,0,0,0,0,0,0
ENSG00000227466,0,0,0,0,0,0
ENSG00000230498,0,0,0,0,0,0
ENSG00000285782,0,0,0,0,1,0
ENSG00000162618,0,0,0,4,14,19
ENSG00000224493,0,0,0,0,0,0
ENSG00000131233,1,1,4,0,0,1
ENSG00000272371,4,0,0,2,1,0
ENSG00000287647,0,0,0,16,0,0
ENSG00000229225,0,0,0,0,0,0
ENSG00000225598,0,0,0,0,17,5
ENSG00000286455,0,0,0,0,0,0
ENSG00000230053,0,0,0,0,0,0
ENSG00000137941,11,47,11,234,383,172
ENSG00000224326,0,0,0,0,15,7
ENSG00000286548,33,13,0,47,61,28
ENSG00000066135,2519,2242,1699,848,1109,674
ENSG00000272094,0,0,0,0,0,0
ENSG00000228853,0,0,0,0,0,0
ENSG00000284895,0,0,0,0,0,0
ENSG00000117174,7023,8419,2860,1264,1801,761
ENSG00000237413,0,0,0,0,0,1
ENSG00000184313,0,0,1,8,0,1
ENSG00000284645,0,0,0,0,0,0
ENSG00000225446,14,2,8,6,10,0
ENSG00000288543,0,1,0,0,0,0
ENSG00000122420,0,0,0,0,0,0
ENSG00000284240,1,1,0,1,0,2
ENSG00000236290,2,0,0,4,0,0
ENSG00000143013,549,359,411,1394,960,791
ENSG00000226084,1091,804,474,1073,1095,843
ENSG00000134748,5642,6119,2492,3220,3187,1555
ENSG00000142892,2847,4224,770,2747,1484,332
ENSG00000287743,1,4,1,17,0,0
ENSG00000229332,0,0,0,0,0,0
ENSG00000227937,0,0,0,0,0,0
ENSG00000229752,2,1,0,0,2,0
ENSG00000237505,16,13,19,4,10,3
ENSG00000285462,0,0,0,0,0,0
ENSG00000233216,0,0,0,0,0,0
ENSG00000197273,0,0,0,0,0,2
ENSG00000226804,0,0,0,0,0,0
ENSG00000230728,0,0,0,1,0,0
ENSG00000232846,0,0,0,9,0,0
ENSG00000230787,76,74,51,26,16,16
ENSG00000116641,5468,7777,1879,2121,2207,651
ENSG00000172260,7,1,0,22,254,28
ENSG00000285473,0,0,0,0,0,1
ENSG00000237959,0,1,0,0,0,0
ENSG00000231364,0,0,0,0,13,0
ENSG00000234578,0,0,0,0,0,0
ENSG00000137944,2338,2803,679,1654,962,194
ENSG00000229505,0,0,0,0,0,0
ENSG00000228187,8,2,6,13,9,7
ENSG00000182183,2,0,0,1,0,6
ENSG00000236407,0,0,0,0,9,1
ENSG00000271949,0,0,0,0,0,0
ENSG00000227062,0,0,0,0,4,0
ENSG00000067334,12907,16328,5013,11471,7329,1624
ENSG00000235011,0,0,0,0,0,0
ENSG00000213559,6,0,0,31,14,1
ENSG00000287587,14,9,16,3,10,11
ENSG00000142949,104020,108769,130602,20473,19642,28773
ENSG00000232882,388,482,209,104,84,27
ENSG00000171502,199,464,171,55,107,25
ENSG00000116157,0,0,0,15,10,11
ENSG00000143036,50,71,30,130,236,74
ENSG00000230817,0,0,0,0,20,0
ENSG00000065243,7852,11059,4232,4171,2916,1328
ENSG00000226759,0,0,0,0,1,0
ENSG00000226960,0,4,0,672,212,61
ENSG00000234080,101,79,73,103,104,98
ENSG00000237899,7,8,13,10,11,13
ENSG00000227290,0,0,0,0,0,1
ENSG00000282898,0,0,0,0,1,0
ENSG00000285409,0,0,0,0,0,0
ENSG00000117528,11773,17140,4162,2895,2695,644
ENSG00000271723,0,0,0,0,0,0
ENSG00000036549,5697,7978,1842,2504,1866,525
ENSG00000225191,6,0,5,20,6,12
ENSG00000287870,0,0,0,0,0,0
ENSG00000232048,0,0,0,21,10,12
ENSG00000232857,0,0,0,0,1,0
ENSG00000273637,0,0,0,0,0,0
ENSG00000228838,0,1,3,0,0,1
ENSG00000283761,23,11,4,10,25,4
ENSG00000189433,106,26,64,0,9,11
ENSG00000230759,0,0,0,0,0,0
ENSG00000142700,0,0,0,2,20,7
ENSG00000285525,0,0,0,0,0,4
ENSG00000236098,445,285,247,54,95,52
ENSG00000233514,57,49,32,196,98,96
ENSG00000127124,1321,1174,895,314,229,455
ENSG00000266993,4,2,6,3,14,0
ENSG00000223675,0,0,0,0,0,0
ENSG00000229316,0,0,1,1,2,1
ENSG00000287406,0,0,0,0,0,0
ENSG00000225767,2,5,7,9,15,0
ENSG00000234099,0,5,3,4,2,0
ENSG00000137936,23238,22161,18158,3016,2139,3439
ENSG00000235308,0,0,0,0,0,0
ENSG00000232752,0,0,0,0,0,0
ENSG00000235829,0,0,0,4,5,1
ENSG00000143032,0,0,0,0,0,0
ENSG00000226745,2,3,3,1,2,2
ENSG00000280040,0,5,4,3,11,0
ENSG00000117519,583,550,187,4524,3249,554
ENSG00000270507,0,0,0,0,0,0
ENSG00000238037,0,0,0,0,0,0
ENSG00000134215,0,0,2,170,91,59
ENSG00000227935,0,0,0,0,0,0
ENSG00000228502,260,225,146,476,426,339
ENSG00000236268,0,0,0,0,2,5
ENSG00000271277,0,0,0,0,0,0
ENSG00000236888,0,0,0,0,0,0
ENSG00000279778,0,0,0,0,0,0
ENSG00000230828,0,0,0,0,1,0
ENSG00000188641,14618,19877,7261,5841,1349,890
ENSG00000152078,230,564,176,151,136,104
ENSG00000233359,0,0,0,0,0,0
ENSG00000237954,0,0,0,0,0,0
ENSG00000171492,24033,26244,13763,2544,1447,879
ENSG00000233129,0,0,0,0,0,0
ENSG00000170989,0,0,1,99,52,68
ENSG00000233557,0,0,0,0,2,0
ENSG00000237897,16,26,3,16,8,0
ENSG00000116299,1,8,0,0,4,1
ENSG00000137962,6777,10161,3057,1008,1080,224
ENSG00000286692,0,0,0,10,1,1
ENSG00000260464,200,170,102,155,112,247
ENSG00000237435,0,0,0,0,0,0
ENSG00000231996,0,0,0,0,0,1
ENSG00000273204,27,18,24,23,26,24
ENSG00000079739,12359,11590,8565,6309,5287,3835
ENSG00000117154,0,0,0,0,0,0
ENSG00000162377,5189,5049,4115,1626,1472,960
ENSG00000224613,0,0,0,0,0,5
ENSG00000215871,2,1,0,2,1,2
ENSG00000287372,0,0,0,2,0,0
ENSG00000232542,0,0,0,1,4,3
ENSG00000116774,0,0,0,674,272,699
ENSG00000287756,0,0,0,0,0,0
ENSG00000284652,0,0,0,6,52,17
ENSG00000023909,9895,13780,6864,3736,2331,1589
ENSG00000069702,4437,4762,2748,8484,5694,1595
ENSG00000228399,20,22,8,376,194,178
ENSG00000236776,0,0,0,0,0,0
ENSG00000224685,0,0,0,0,0,0
ENSG00000287076,0,0,0,0,0,0
ENSG00000237480,0,0,0,0,1,1
ENSG00000271252,0,0,0,0,0,0
ENSG00000235794,0,0,0,0,0,0
ENSG00000286758,0,0,0,0,0,0
ENSG00000237337,0,0,0,0,0,0
ENSG00000233983,0,0,0,0,0,0
ENSG00000198198,878,766,910,491,750,1120
ENSG00000230402,0,1,0,0,0,0
ENSG00000116793,1434,1297,1148,1475,1894,872
ENSG00000232918,0,0,0,1,0,1
ENSG00000183298,151,107,85,202,205,157
ENSG00000234332,47,82,33,250,152,65
ENSG00000117525,247,360,79,104,1376,96
ENSG00000225079,0,0,0,1,2,0
ENSG00000224238,0,2,0,1,10,0
ENSG00000229537,0,0,0,0,0,0
ENSG00000162699,0,0,0,22,17,8
ENSG00000162692,970,1530,508,758,598,2601
ENSG00000203914,199,302,94,350,249,64
ENSG00000270457,1,4,2,0,2,0
ENSG00000203858,0,0,0,1,0,2
ENSG00000231987,0,0,0,0,0,0
ENSG00000228057,20,13,16,53,30,12
ENSG00000224445,0,0,0,0,0,0
ENSG00000229842,0,0,0,0,0,0
ENSG00000229201,0,0,0,0,0,0
ENSG00000181656,0,0,0,0,1,0
ENSG00000122481,124,174,37,148,109,35
ENSG00000198162,3243,4050,1970,3796,3299,1613
ENSG00000171517,3064,2738,2014,212,339,214
ENSG00000228852,2,12,0,0,2,0
ENSG00000203864,0,0,0,0,0,0
ENSG00000233482,0,0,0,0,0,0
ENSG00000230250,0,0,0,0,0,0
ENSG00000232878,3,1,0,10,3,1
ENSG00000143079,2461,2667,1224,1682,1227,844
ENSG00000232450,0,22,42,36,45,6
ENSG00000223575,4,4,5,3,8,5
ENSG00000230768,0,0,0,0,10,0
ENSG00000235202,0,0,0,0,0,0
ENSG00000272715,0,1,0,0,1,0
ENSG00000235038,0,0,0,0,0,0
ENSG00000173947,4,16,13,56,67,37
ENSG00000230434,0,0,0,0,0,0
ENSG00000230718,1,0,0,0,0,0
ENSG00000134198,0,0,0,3,26,1
ENSG00000235595,0,0,2,12,10,14
ENSG00000226053,538,778,247,256,209,29
ENSG00000226128,4,2,0,0,2,0
ENSG00000279513,0,12,0,5,21,6
ENSG00000117620,953,1901,507,1401,823,214
ENSG00000223906,0,0,0,0,2,0
ENSG00000162688,1787,2803,647,1439,1505,318
ENSG00000197106,0,0,0,0,0,0
ENSG00000259946,0,0,0,0,0,0
ENSG00000236137,1,0,0,15,8,0
ENSG00000203859,0,0,0,0,2,98
ENSG00000228086,1,0,0,1,2,0
ENSG00000213421,1,0,0,0,0,0
ENSG00000234020,0,0,0,0,1,2
ENSG00000236804,1,1,3,5,6,10
ENSG00000231072,65,32,42,47,27,19
ENSG00000273406,0,0,0,0,0,0
ENSG00000185946,273,253,209,305,524,273
ENSG00000162627,7014,8449,2706,8126,4918,2129
ENSG00000226715,9,5,4,3,5,6
ENSG00000162695,3062,5075,1657,3699,2565,834
ENSG00000265808,2923,3357,1208,3170,2563,1014
ENSG00000225923,1,5,0,0,0,0
ENSG00000134247,284,267,398,274,501,548
ENSG00000187481,0,0,0,0,0,0
ENSG00000162664,6324,6570,3905,3097,3317,1715
ENSG00000236866,0,0,1,2,0,0
ENSG00000134253,354,295,151,179,306,257
ENSG00000223416,4,4,1,16,8,6
ENSG00000179571,1,0,0,0,0,3
ENSG00000227850,132,122,32,88,28,31
ENSG00000235777,6,0,1,14,6,0
ENSG00000285532,25,5,0,5,4,0
ENSG00000226755,0,0,0,0,0,0
ENSG00000232650,0,0,0,1,0,2
ENSG00000183508,46,119,65,868,795,796
ENSG00000277095,0,0,0,0,0,0
ENSG00000274927,0,0,0,0,2,0
ENSG00000264145,0,0,0,0,0,0
ENSG00000238256,0,0,0,0,0,0
ENSG00000198765,0,0,0,0,0,0
ENSG00000277702,2,0,0,6,4,1
ENSG00000143398,15716,15889,9134,4803,5107,2801
ENSG00000196505,1504,2143,652,1331,622,220
ENSG00000223489,0,0,0,0,0,0
ENSG00000230546,0,0,0,0,0,0
ENSG00000213262,0,0,0,19,19,9
ENSG00000287015,0,0,0,0,0,0
ENSG00000235526,0,0,0,0,0,0
ENSG00000228347,15,15,13,364,253,333
ENSG00000236012,2,0,0,0,0,0
ENSG00000270911,0,0,0,0,0,0
ENSG00000134200,0,0,0,0,0,0
ENSG00000065183,11428,14101,5877,3347,3077,1095
ENSG00000227082,0,4,0,0,10,0
ENSG00000226126,3,5,3,35,15,10
ENSG00000163156,2338,1943,1660,2072,1938,1788
ENSG00000228453,0,0,0,34,19,32
ENSG00000274642,1,0,0,0,3,3
ENSG00000261168,25,31,29,12,21,4
ENSG00000287980,0,0,0,0,0,0
ENSG00000229283,0,0,0,0,0,0
ENSG00000226172,0,0,0,0,0,0
ENSG00000079335,684,874,486,508,593,283
ENSG00000143119,7,0,2,87,35,30
ENSG00000233432,5,6,4,12,11,1
ENSG00000229911,0,0,1,0,0,0
ENSG00000171943,766,830,363,317,281,166
ENSG00000270719,0,0,0,0,0,0
ENSG00000155761,4,2,3,6,11,2
ENSG00000230806,0,0,1,1,5,1
ENSG00000116830,4451,5377,2979,2000,1452,864
ENSG00000234422,0,0,0,58,22,22
ENSG00000227056,0,4,1,2,2,2
ENSG00000227091,0,0,1,0,0,2
ENSG00000081026,1525,1663,1182,587,1029,717
ENSG00000224965,7,3,0,2,2,0
ENSG00000143458,632,737,408,405,457,176
ENSG00000230932,0,0,0,0,0,0
ENSG00000073754,0,0,0,0,1,0
ENSG00000228826,0,0,0,0,3,0
ENSG00000233907,0,0,0,0,0,0
ENSG00000225036,0,0,0,5,3,1
ENSG00000228420,0,0,0,0,0,0
ENSG00000250890,0,0,0,0,0,0
ENSG00000232240,0,0,0,0,0,0
ENSG00000230921,0,0,0,0,0,0
ENSG00000286151,1,0,0,0,0,0
ENSG00000234388,0,0,0,15,9,5
ENSG00000271736,0,0,0,0,0,0
ENSG00000233717,0,0,0,1,1,0
ENSG00000163155,79,113,58,76,111,79
ENSG00000241975,6,13,0,25,15,7
ENSG00000270976,0,0,0,8,6,4
ENSG00000228217,87,83,41,100,78,28
ENSG00000270342,0,0,0,0,0,0
ENSG00000231100,0,0,0,0,0,0
ENSG00000116824,0,0,2,0,0,0
ENSG00000235887,0,0,0,0,0,0
ENSG00000237460,0,0,0,0,0,0
ENSG00000235756,1,1,0,8,1,3
ENSG00000173810,5,3,1,611,300,290
ENSG00000235005,0,0,0,0,0,0
ENSG00000271890,0,0,0,0,0,0
ENSG00000227425,3,2,0,4,1,2
ENSG00000239216,0,0,0,0,0,0
ENSG00000283360,2,0,2,19,8,5
ENSG00000117262,988,821,307,667,1026,294
ENSG00000227907,0,0,0,0,0,0
ENSG00000227970,0,0,0,0,0,0
ENSG00000261055,0,0,0,0,0,0
ENSG00000231613,0,1,0,0,0,0
ENSG00000137947,2398,2514,934,3609,3179,1109
ENSG00000236689,0,6,0,0,0,0
ENSG00000230946,5,0,0,8,7,1
ENSG00000226028,1,0,0,52,32,51
ENSG00000229021,20,10,21,27,11,22
ENSG00000203825,0,0,0,0,0,0
ENSG00000184371,2065,2104,2739,3469,1867,3352
ENSG00000233449,0,0,0,138,53,10
ENSG00000242943,0,0,0,0,0,0
ENSG00000232499,99,79,82,359,231,125
ENSG00000232265,0,1,0,1,0,3
ENSG00000163154,11,10,0,170,90,133
ENSG00000232995,172,162,59,123,92,15
ENSG00000238087,0,0,0,0,0,0
ENSG00000227777,0,0,0,2,0,0
ENSG00000177173,88,86,50,73,37,26
ENSG00000238022,0,0,0,0,0,0
ENSG00000231671,0,0,0,0,0,0
ENSG00000143158,6364,6656,2795,3013,3370,1476
ENSG00000271092,8,34,6,22,14,1
ENSG00000276118,0,0,0,0,0,0
ENSG00000232148,0,0,0,0,0,0
ENSG00000278811,37,63,20,85,39,9
ENSG00000000460,2776,3561,1491,1048,903,350
ENSG00000275075,0,0,0,0,0,0
ENSG00000135862,14597,16561,11512,4007,7405,5927
ENSG00000232952,638,704,273,450,366,136
ENSG00000285922,543,474,604,278,420,412
ENSG00000275801,0,0,0,0,0,0
ENSG00000143198,4985,3571,2196,6349,6297,8151
ENSG00000232212,0,0,0,0,0,0
ENSG00000143621,41487,36616,19682,20833,16144,10189
ENSG00000260322,0,0,0,0,4,0
ENSG00000223495,0,0,0,0,0,0
ENSG00000143156,1956,2213,684,1184,1600,509
ENSG00000198771,0,2,0,152,3217,941
ENSG00000225462,128,76,52,96,94,89
ENSG00000237756,1,0,4,2,1,2
ENSG00000213064,5321,7012,4519,4513,4108,1786
ENSG00000143179,19008,17929,13549,3892,5493,3547
ENSG00000271187,0,0,0,0,0,0
ENSG00000274562,0,0,0,0,0,0
ENSG00000231175,1,0,0,0,11,6
ENSG00000143185,0,0,0,0,0,0
ENSG00000272931,2117,2061,2071,58,24,38
ENSG00000143190,2066,2225,2008,1175,1849,978
ENSG00000225475,6,15,23,8,8,5
ENSG00000232223,1,0,0,68,24,24
ENSG00000235303,0,0,0,0,0,0
ENSG00000234810,0,0,0,0,0,0
ENSG00000224468,5,1,7,0,4,3
ENSG00000232551,0,0,0,0,0,0
ENSG00000092607,0,0,2,7,2,0
ENSG00000238270,0,0,0,0,0,0
ENSG00000285894,0,0,0,0,0,0
ENSG00000236025,0,0,0,0,0,0
ENSG00000230704,0,0,0,0,0,0
ENSG00000283255,0,0,0,0,0,0
ENSG00000286754,0,0,0,1,0,0
ENSG00000117091,0,0,0,0,0,5
ENSG00000143171,2,0,0,20,8,14
ENSG00000275767,0,0,0,0,0,0
ENSG00000047410,17350,23964,14167,7585,8529,4761
ENSG00000231992,2,0,3,1,0,1
ENSG00000171806,594,689,154,319,271,66
ENSG00000287919,0,0,0,0,0,0
ENSG00000233882,0,0,0,0,0,0
ENSG00000134216,0,0,0,0,0,0
